"id","created_at","updated_at","name","cluster"
"784","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","economic crisis","economic issues"
"785","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","greenhouse gases","environmental issues"
"786","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","prolonged fighting","conflicts and violence"
"787","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","tragedy","other"
"788","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","slave trade","other"
"789","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","environmental degradation","environmental issues"
"790","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","infant mortality","food crisis"
"791","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","catastrophe","other"
"792","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","wreaked havoc","other"
"793","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","internal strife","conflicts and violence"
"794","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","malnourished","food crisis"
"795","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","secession","political instability"
"796","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","natural disaster","environmental issues"
"797","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","life-threatening hunger","food crisis"
"798","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","air attack","conflicts and violence"
"799","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","corruption","political instability"
"800","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","call for donations","humanitarian aid"
"801","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","collapse of government","political instability"
"802","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","international intervention","humanitarian aid"
"803","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","refugees","forced displacement"
"804","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","disrupted trade","economic issues"
"805","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","lack of agricultural infrastructure","agricultural production issues"
"806","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","rebel insurgency","conflicts and violence"
"807","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","brutal government","conflicts and violence"
"808","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","looting","conflicts and violence"
"809","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","displaced","forced displacement"
"810","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","food crisis","food crisis"
"811","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","lack of rains","weather shocks"
"812","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","lack of alternatives","other"
"813","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","regimes were toppled","political instability"
"814","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","jihadist groups","conflicts and violence"
"815","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","toll on livestock","agricultural production issues"
"816","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","shortage of rains","weather shocks"
"817","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","devastated the economy","economic issues"
